buildingname,buildingaddress,buildingtype,mainbuildingfunction,buildingsize,yearobtainedtopcsc,greenmarkrating,greenmarkyearofaward,greenmarkversion,grossfloorarea,percentageofairconditionedfloorarea,averagemonthlybuildingoccupancyrate,numberofhotelrooms,typeofairconditioningsystem,ageofchiller,centralisedairconditioningplantefficiency,yearoflastchillerplantaudithealthcheck,percentageusageofled,installationofsolarpv,2017,2018,2019,2020
MINISTRY OF MANPOWER BUILDING,"18 HAVELOCK ROAD, SINGAPORE 059764",Commercial Building,Office,Large,1990,Platinum,2019,Existing Building for Non-Residential buildings (version 2.1),"31,298",84%,80%,N/A,Water Cooled Chilled Water Plant,10,0.68,2019,90%,N,134.36,137.82,137.47,134.69
HOTEL ROYAL @ QUEENS,"12 QUEEN STREET, SINGAPORE 188553",Commercial Building,Hotel,Small,1986,Gold,2020,Existing Building for Non-Residential buildings (version 3),"12,565",92%,80%,231,Water Cooled Chilled Water Plant,11,1.24,2020,0%,N,233.42,230.34,225.60,192.91
N/A,"50 TIONG BAHRU ROAD, SINGAPORE 168733",Commercial Building,Hotel,Small,2016,N/A,N/A,N/A,"10,194",100%,70%,274,Others,10,N/A,N/A,90%,N,246.04,222.20,247.99,215.12
KECK SENG TOWER,"133 CECIL STREET, SINGAPORE 069535",Commercial Building,Office,Large,1985,Certified,2018,Existing Building for Non-Residential buildings (version 2.1),"16,122",71%,94%,N/A,Water Cooled Chilled Water Plant,7,0.88,2017,15%,N,147.04,138.08,143.58,120.44
ONE RAFFLES LINK,"1 RAFFLES LINK, SINGAPORE 039393",Commercial Building,Office,Large,1999,Platinum,2020,Existing Non-Residental Buildings ENRB: 2017,"36,280",85%,98%,N/A,Water Cooled Chilled Water Plant,21,0.67,2020,80%,N,414.98,386.44,376.34,296.75
THE CONCOURSE,"300 BEACH ROAD, SINGAPORE 199555",Commercial Building,Office,Large,1992,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"62,392",93%,90%,N/A,Water Cooled Chilled Water Plant,6,0.65,2018,42%,N,133.52,132.21,134.03,110.68
AIA TOWER,"1 ROBINSON ROAD, SINGAPORE 048542",Commercial Building,Office,Large,1993,Certified,2019,Existing Building for Non-Residential buildings (version 3),"15,276",90%,99%,N/A,Water Cooled Chilled Water Plant,1,0.79,2018,15%,N,222.13,232.88,217.51,191.06
AIA ALEXANDRA,"371 ALEXANDRA ROAD, SINGAPORE 159963",Commercial Building,Office,Large,1994,Certified,2020,Existing Building for Non-Residential buildings (version 3),"17,828",82%,100%,N/A,Air Cooled Chilled Water Plant,6,0.94,2017,0%,N,265.98,246.75,226.65,194.36
N/A,"20 HARBOUR DRIVE, SINGAPORE 117612",Commercial Building,Office,Large,1998,Certified,2020,Existing Building for Non-Residential buildings (version 2.1),"23,225",63%,90%,N/A,Air Cooled Chilled Water Plant,19,0.81,2019,55%,N,158.34,151.42,150.75,122.55
HARBOURFRONT CENTRE,"1 MARITIME SQUARE, SINGAPORE 099253",Commercial Building,Office,Large,1979,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"169,727",75%,95%,N/A,Water Cooled Chilled Water Plant,11,0.65,2020,100%,N,235.95,231.21,226.33,184.46
TAN CHONG TOWER,"15 QUEEN STREET, SINGAPORE 188537",Commercial Building,Office,Small,1980,N/A,N/A,N/A,"10,471",69%,75%,N/A,Others,10,N/A,N/A,0%,N,249.80,235.17,250.30,227.94
PUBLIC MANSIONS,"432 BALESTIER ROAD, SINGAPORE 329813",Commercial Building,Mixed Development,Small,1974,N/A,N/A,N/A,"11,880",64%,100%,N/A,Others,6,N/A,N/A,33%,N,69.69,62.83,61.99,56.61
RAFFLES HOTEL,"1 BEACH ROAD, SINGAPORE 189673",Commercial Building,Hotel,Small,2020,N/A,N/A,N/A,"43,360",41%,74%,115,Water Cooled Chilled Water Plant,10,N/A,N/A,15%,N,N/A,N/A,N/A,229.80
PIL BUILDING,"140 CECIL STREET, SINGAPORE 069540",Commercial Building,Office,Small,1981,N/A,N/A,N/A,"12,656",79%,92%,N/A,Water Cooled Packaged Unit,10,N/A,N/A,1%,N,285.79,299.88,275.89,245.27
CHINATOWN POINT,"133 NEW BRIDGE ROAD, SINGAPORE 059413",Commercial Building,Mixed Development,Large,1990,Certified,2018,Existing Building for Non-Residential buildings (version 3),"51,611",75%,93%,N/A,Water Cooled Chilled Water Plant,1,0.63,2015,80%,N,344.74,322.13,356.30,314.99
N/A,"80 ROBINSON ROAD, SINGAPORE 068898",Commercial Building,Office,Large,1997,N/A,N/A,N/A,"31,031",83%,80%,N/A,Water Cooled Chilled Water Plant,20,N/A,N/A,0%,N,169.89,153.61,185.49,171.36
ORCHARD PLAZA,"150 ORCHARD ROAD, SINGAPORE 238841",Commercial Building,Retail,Large,1982,GoldPlus,2017,Existing Building for Non-Residential buildings (version 3),"22,331",87%,97%,N/A,Water Cooled Chilled Water Plant,5,0.52,2017,95%,N,213.06,217.57,211.65,152.57
THE OXLEY,"9 OXLEY RISE, SINGAPORE 238697",Commercial Building,Office,Small,1996,N/A,N/A,N/A,"7,387",50%,100%,N/A,Others,4,N/A,N/A,70%,N,114.13,104.68,110.79,106.09
GOODMAN ARTS CENTRE,"90 GOODMAN ROAD, SINGAPORE 439053",Commercial Building,Office,Large,2010,N/A,N/A,N/A,"16,153",18%,100%,N/A,Others,6,N/A,N/A,0%,N,118.50,116.61,110.10,78.09
SINGAPORE FLYER,"30 RAFFLES AVENUE, SINGAPORE 039803",Commercial Building,Retail,Small,2009,Certified,2007,New Building (version 1),"13,590",55%,50%,N/A,Water Cooled Chilled Water Plant,12,N/A,N/A,54%,N,442.08,398.20,411.35,232.01
SO SOFITEL SINGAPORE,"35 ROBINSON ROAD, SINGAPORE 068876",Commercial Building,Hotel,Small,2014,Platinum,2012,New Building for Non-Residential buildings (version 4),"7,450",66%,85%,134,Water Cooled Chilled Water Plant,3,N/A,N/A,80%,N,334.77,328.24,328.76,281.89
THE TREASURY,"100 HIGH STREET, SINGAPORE 179434",Commercial Building,Office,Large,2000,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"41,499",66%,100%,N/A,Water Cooled Chilled Water Plant,3,0.61,2019,30%,N,141.73,133.96,130.89,116.42
N/A,"930 YISHUN AVENUE 2, SINGAPORE 769098",Commercial Building,Retail,Large,1992,Gold,2020,New Building for Non-Residential buildings (version 4.1),"34,970",87%,99%,N/A,Water Cooled Chilled Water Plant,10,0.71,2015,95%,N,468.13,593.64,587.70,532.99
HOTEL MIRAMAR,"401 HAVELOCK ROAD, SINGAPORE 169631",Commercial Building,Hotel,Large,1971,Gold,2019,Existing Building for Non-Residential buildings (version 3),"23,554",90%,64%,342,Water Cooled Chilled Water Plant,3,0.68,2018,25%,N,208.37,184.26,184.69,164.66
GB BUILDING,"143 CECIL STREET, SINGAPORE 069542",Commercial Building,Office,Large,1989,N/A,N/A,N/A,"17,306",87%,95%,N/A,Water Cooled Chilled Water Plant,15,1.05,2011,0%,N,173.73,176.61,179.14,150.74
NKF CENTRE,"81 KIM KEAT ROAD, SINGAPORE 328836",Commercial Building,Office,Small,1999,N/A,N/A,N/A,"11,060",86%,76%,N/A,Others,1,N/A,N/A,20%,N,151.53,150.04,148.93,116.85
WHEELOCK PLACE,"501 ORCHARD ROAD, SINGAPORE 238880",Commercial Building,Mixed Development,Large,1993,Gold,2017,Existing Building for Non-Residential buildings (version 3),"43,280",92%,96%,N/A,Water Cooled Chilled Water Plant,4,0.69,2017,70%,N,269.40,264.11,260.39,233.38
CLIFFORD CENTRE,"24 RAFFLES PLACE, SINGAPORE 048621",Commercial Building,Office,Large,1977,N/A,N/A,N/A,"37,281",75%,96%,N/A,Others,0,0.89,2009,0%,N,261.26,252.47,259.11,222.85
313 @ SOMERSET,"313 ORCHARD ROAD, SINGAPORE 238895",Commercial Building,Retail,Large,2009,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"39,913",90%,97%,N/A,Water Cooled Chilled Water Plant,8,0.64,2019,84%,Y,515.48,513.45,523.16,424.90
SINGAPORE LAND TOWER,"50 RAFFLES PLACE, SINGAPORE 048623",Commercial Building,Office,Large,1982,GoldPlus,2020,Existing Building for Non-Residential buildings (version 3),"64,277",96%,95%,N/A,Water Cooled Chilled Water Plant,4,0.67,2018,12%,N,269.27,263.73,259.01,211.03
CPF TAMPINES BUILDING,"1 TAMPINES CENTRAL 5, SINGAPORE 529508",Commercial Building,Office,Large,1997,N/A,N/A,N/A,"15,551",89%,89%,N/A,Water Cooled Chilled Water Plant,6,N/A,N/A,10%,N,401.01,358.51,356.12,296.03
CPF JURONG BUILDING,"21 JURONG GATEWAY ROAD, SINGAPORE 608546",Commercial Building,Office,Small,1994,N/A,N/A,N/A,"4,745",72%,100%,N/A,Air Cooled Chilled Water Plant,9,N/A,N/A,10%,N,229.54,227.65,227.91,238.94
CPF BISHAN BUILDING,"3 BISHAN PLACE, SINGAPORE 579838",Commercial Building,Office,Small,1997,N/A,N/A,N/A,"8,060",79%,100%,N/A,Air Cooled Chilled Water Plant,6,N/A,N/A,10%,N,807.46,795.90,717.02,654.72
TOKIO MARINE CENTRE,"20 MCCALLUM STREET, SINGAPORE 069046",Commercial Building,Office,Small,2010,GoldPlus,2020,Existing Building for Non-Residential buildings (version 2.1),"14,671",90%,100%,N/A,Water Cooled Chilled Water Plant,3,0.55,2013,0%,N,157.25,159.67,164.95,151.96
N/A,"1 RAFFLES QUAY, SINGAPORE 048583",Commercial Building,Office,Large,2006,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"144,109",97%,100%,N/A,District Cooling Plant,11,N/A,N/A,26%,N,274.30,249.90,290.44,192.61
HIGH STREET CENTRE,"1 NORTH BRIDGE ROAD, SINGAPORE 179094",Commercial Building,Office,Large,1976,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"43,000",95%,90%,N/A,Water Cooled Packaged Unit,9,N/A,N/A,0%,N,174.06,164.95,111.43,92.42
MUSTAFA CENTRE,"145 SYED ALWI ROAD, SINGAPORE 207704",Commercial Building,Retail,Large,1995,N/A,N/A,N/A,"23,000",99%,100%,N/A,Water Cooled Chilled Water Plant,0,N/A,N/A,0%,N,784.77,732.28,689.02,730.01
BOON SIEW BUILDING,"75 BUKIT TIMAH ROAD, SINGAPORE 229833",Commercial Building,Office,Small,1984,N/A,N/A,N/A,"11,950",75%,90%,N/A,Water Cooled Chilled Water Plant,36,N/A,N/A,0%,N,130.54,130.08,134.19,117.47
GERMAN CENTRE,"25 INTERNATIONAL BUSINESS PARK, SINGAPORE 609916",Commercial Building,Office,Large,1994,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"28,421",83%,97%,N/A,Water Cooled Chilled Water Plant,3,0.6,2014,100%,N,112.91,110.53,112.89,99.25
ROBINSON 77,"77 ROBINSON ROAD, SINGAPORE 068896",Commercial Building,Office,Large,1997,Gold,2018,Existing Building for Non-Residential buildings (version 3),"36,837",84%,88%,N/A,Water Cooled Chilled Water Plant,1,0.63,2017,30%,N,179.02,146.57,153.25,128.45
MITSUBISHI ELECTRIC BUILDING,"307 ALEXANDRA ROAD, SINGAPORE 159943",Commercial Building,Office,Large,1991,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"16,654",40%,100%,N/A,Others,8,N/A,N/A,40%,Y,94.02,94.59,80.49,77.49
N/A,"96 SOMERSET ROAD, SINGAPORE 238163",Commercial Building,Hotel,Small,2008,N/A,N/A,N/A,"12,401",84%,90%,126,Water Cooled Chilled Water Plant,9,N/A,N/A,90%,N,260.99,259.33,262.81,230.34
ENVIRONMENT BUILDING,"40 SCOTTS ROAD, SINGAPORE 228231",Commercial Building,Office,Large,1985,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"49,021",62%,100%,N/A,Water Cooled Chilled Water Plant,1,0.58,2016,91%,N,134.26,122.37,115.18,98.60
SOUTHPOINT,"200 CANTONMENT ROAD, SINGAPORE 089763",Commercial Building,Office,Large,1986,Certified,2019,Existing Building for Non-Residential buildings (version 3),"33,736",80%,86%,N/A,Water Cooled Chilled Water Plant,2,0.69,2018,0%,N,173.00,157.84,147.43,124.31
MANDARIN ORCHARD SINGAPORE,"333 ORCHARD ROAD, SINGAPORE 238867",Commercial Building,Hotel,Omit,1970,Gold,2020,Existing Building for Non-Residential buildings (version 2.1),"127,860",97%,88%,1077,Water Cooled Chilled Water Plant,10,0.8,2020,80%,N,220.20,216.65,215.31,179.68
ORCHARD TOWERS,"400 ORCHARD ROAD, SINGAPORE 238875",Commercial Building,Mixed Development,Large,1975,Certified,2016,Existing Building for Non-Residential buildings (version 3),"42,809",88%,85%,N/A,Water Cooled Chilled Water Plant,5,0.61,2018,35%,N,173.75,173.20,148.91,123.42
PARKVIEW SQUARE,"600 NORTH BRIDGE ROAD, SINGAPORE 188778",Commercial Building,Office,Large,2002,N/A,N/A,N/A,"39,149",90%,95%,N/A,Water Cooled Chilled Water Plant,18,N/A,N/A,68%,N,229.00,237.27,234.94,202.67
FAR EAST FINANCE BUILDING,"14 ROBINSON ROAD, SINGAPORE 048545",Commercial Building,Office,Small,1985,N/A,N/A,N/A,"6,268",76%,100%,N/A,Water Cooled Packaged Unit,22,N/A,N/A,75%,N,126.76,122.30,121.84,103.47
BCA BRADDELL CAMPUS,"200 BRADDELL ROAD, SINGAPORE 579700",Commercial Building,Office,Large,1994,Platinum,2017,Existing Building for Non-Residential buildings (version 3),"46,218",40%,85%,N/A,Water Cooled Chilled Water Plant,5,N/A,N/A,28%,Y,42.54,40.90,39.02,37.80
MARINA BAY SANDS,"1 BAYFRONT AVENUE, SINGAPORE 018971",Commercial Building,Mixed Development,Omit,2010,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"581,511",100%,94%,2561,District Cooling Plant,11,N/A,N/A,95%,Y,301.08,296.57,301.89,243.05
KATONG PLAZA,"1 BROOKE ROAD, SINGAPORE 429979",Commercial Building,Retail,Small,1980,N/A,N/A,N/A,"5,411",66%,90%,N/A,Water Cooled Chilled Water Plant,33,N/A,N/A,100%,N,241.06,245.98,237.34,215.92
SGX CENTRE II,"4 SHENTON WAY, SINGAPORE 068807",Commercial Building,Office,Large,2003,N/A,N/A,N/A,"29,964",95%,97%,N/A,Water Cooled Chilled Water Plant,13,N/A,N/A,0%,N,329.13,331.86,329.41,289.57
SGX CENTRE I,"2 SHENTON WAY, SINGAPORE 068804",Commercial Building,Office,Large,2003,N/A,N/A,N/A,"29,964",95%,95%,N/A,Water Cooled Chilled Water Plant,13,N/A,N/A,0%,N,314.52,290.88,302.11,270.89
SINGAPORE SHOPPING CENTRE,"190 CLEMENCEAU AVENUE, SINGAPORE 239924",Commercial Building,Retail,Small,1982,Gold,2016,Existing Building for Non-Residential buildings (version 3),"11,256",98%,98%,N/A,Water Cooled Chilled Water Plant,1,0.65,2015,100%,N,170.95,184.17,178.60,146.20
PALAIS RENAISSANCE,"390 ORCHARD ROAD, SINGAPORE 238871",Commercial Building,Mixed Development,Large,1991,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"16,491",89%,82%,N/A,Water Cooled Chilled Water Plant,3,0.59,2017,90%,N,200.62,183.86,187.79,154.95
N/A,"6 RAFFLES QUAY, SINGAPORE 048580",Commercial Building,Office,Large,1992,N/A,N/A,N/A,"16,105",100%,90%,N/A,Others,9,1.27,2019,30%,N,268.33,256.38,249.10,210.41
N/A,"501 OLD CHOA CHU KANG ROAD, SINGAPORE 698928",Commercial Building,Office,Large,2005,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"137,488",45%,100%,N/A,Water Cooled Chilled Water Plant,2,0.9,2017,10%,Y,132.50,119.97,89.94,84.32
IBIS SINGAPORE NOVENA,"6 IRRAWADDY ROAD, SINGAPORE 329543",Commercial Building,Hotel,Small,2011,Platinum,2015,Existing Building for Non-Residential buildings (version 3),"6,407",89%,90%,241,Others,5,N/A,N/A,10%,N,335.26,275.57,276.66,263.54
MAPLETREE BUSINESS CITY,"10 PASIR PANJANG ROAD, SINGAPORE 117438",Commercial Building,Office,Large,2010,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"312,724",90%,99%,N/A,Water Cooled Chilled Water Plant,8,0.61,2017,20%,Y,136.38,146.76,164.75,142.08
KATONG SHOPPING CENTRE,"865 MOUNTBATTEN ROAD, SINGAPORE 437844",Commercial Building,Retail,Large,1973,N/A,N/A,N/A,"23,076",92%,99%,N/A,Water Cooled Chilled Water Plant,0,0.6,2020,0%,N,235.97,250.21,243.49,183.80
PARK REGIS SINGAPORE,"23 MERCHANT ROAD, SINGAPORE 058268",Commercial Building,Hotel,Omit,2010,N/A,N/A,N/A,"11,938",92%,94%,202,Others,1,N/A,N/A,60%,N,132.96,127.83,356.41,242.21
WISMA ATRIA,"435 ORCHARD ROAD, SINGAPORE 238877",Commercial Building,Retail,Large,1986,N/A,N/A,N/A,"40,064",95%,99%,N/A,Water Cooled Chilled Water Plant,16,0.81,2012,95%,N,377.59,400.85,373.24,301.03
30 BENCOOLEN,"30 BENCOOLEN STREET, SINGAPORE 189621",Commercial Building,Hotel,Small,1988,N/A,N/A,N/A,"7,141",95%,90%,131,Water Cooled Chilled Water Plant,2,0.65,2019,90%,N,57.56,186.89,183.85,147.89
FORUM,"583 ORCHARD ROAD, SINGAPORE 238884",Commercial Building,Mixed Development,Large,1985,N/A,N/A,N/A,"24,639",94%,85%,N/A,Water Cooled Chilled Water Plant,11,0.74,2020,50%,N,393.87,381.17,382.59,344.66
QUEENSWAY SHOPPING CENTRE/QUEENSWAY TOWER,"1 QUEENSWAY, SINGAPORE 149053",Commercial Building,Retail,Small,1974,N/A,N/A,N/A,"12,977",61%,91%,N/A,Water Cooled Chilled Water Plant,22,N/A,N/A,95%,N,337.88,333.79,326.21,298.91
FU LU SHOU COMPLEX,"149 ROCHOR ROAD, SINGAPORE 188425",Commercial Building,Retail,Large,1983,N/A,N/A,N/A,"16,747",87%,95%,N/A,Water Cooled Chilled Water Plant,1,0.61,2018,62%,N,239.00,256.26,249.02,190.04
PEACE CENTRE,"1 SOPHIA ROAD, SINGAPORE 228149",Commercial Building,Office,Large,1979,N/A,N/A,N/A,"36,800",92%,90%,N/A,Water Cooled Chilled Water Plant,12,N/A,N/A,0%,N,255.30,256.62,255.87,195.63
SEACARE BUILDING,"52 CHIN SWEE ROAD, SINGAPORE 169875",Commercial Building,Mixed Development,Small,1968,N/A,N/A,N/A,"6,508",90%,78%,103,Others,4,N/A,N/A,25%,N,205.65,216.37,226.97,192.13
N/A,"8 INTERNATIONAL BUSINESS PARK, SINGAPORE 609925",Commercial Building,Office,Small,1995,N/A,N/A,N/A,"8,288",72%,100%,N/A,Air Cooled Chilled Water Plant,4,N/A,N/A,85%,N,1007.57,1055.78,1069.18,1056.82
MARINA BAY FINANCIAL CENTRE,"8 MARINA BOULEVARD, SINGAPORE 018981",Commercial Building,Office,Omit,2009,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"383,052",95%,100%,N/A,District Cooling Plant,11,N/A,N/A,20%,N,215.65,207.82,202.00,154.17
XILINX BUILDING,"5 CHANGI BUSINESS PARK VISTA, SINGAPORE 486040",Commercial Building,Office,Large,2007,Platinum,2007,New Building (version 1),"20,619",68%,100%,N/A,District Cooling Plant,10,N/A,N/A,3%,N,453.15,449.66,467.77,495.97
"LE MERIDIEN SINGAPORE, SENTOSA","23 BEACH VIEW, SINGAPORE 098679",Commercial Building,Hotel,Small,2011,N/A,N/A,N/A,"10,453",67%,84%,191,Others,7,N/A,N/A,70%,N,545.67,568.18,516.52,305.93
N/A,"61 ANG MO KIO AVENUE 8, SINGAPORE 569814",Commercial Building,Retail,Small,2011,N/A,N/A,N/A,"5,096",98%,100%,N/A,Water Cooled Packaged Unit,6,N/A,N/A,100%,N,436.37,432.94,412.88,365.78
321 CLEMENTI,"321 CLEMENTI AVENUE 3, SINGAPORE 129905",Commercial Building,Retail,Small,2016,Platinum,2015,New Building for Non-Residential buildings (version 4.1),"7,564",75%,80%,N/A,Water Cooled Chilled Water Plant,1,N/A,N/A,60%,Y,328.30,348.84,319.31,249.76
RELC BUILDING,"30 ORANGE GROVE ROAD, SINGAPORE 258352",Commercial Building,Hotel,Large,1972,GoldPlus,2020,Existing Building for Non-Residential buildings (version 3),"21,466",85%,85%,151,Water Cooled Chilled Water Plant,1,0.65,2016,90%,N,94.11,101.02,97.00,79.56
SULTAN PLAZA,"100 JALAN SULTAN, SINGAPORE 199001",Commercial Building,Office,Large,1985,Gold,2017,Existing Building for Non-Residential buildings (version 3),"17,034",94%,95%,N/A,Water Cooled Chilled Water Plant,4,0.57,2019,0%,N,267.24,246.26,246.78,175.83
PEK CHUAN BUILDING,"116 LAVENDER STREET, SINGAPORE 338730",Commercial Building,Office,Small,1983,N/A,N/A,N/A,"5,985",77%,89%,N/A,Water Cooled Packaged Unit,6,N/A,N/A,3%,N,116.17,117.39,118.10,101.58
WINSLAND HOUSE I,"3 KILLINEY ROAD, SINGAPORE 239519",Commercial Building,Office,Large,1991,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"21,055",76%,93%,N/A,Water Cooled Chilled Water Plant,4,0.6,2015,10%,N,151.74,139.79,138.12,117.23
WINSLAND HOUSE II,"163 PENANG ROAD, SINGAPORE 238463",Commercial Building,Office,Large,1997,GoldPlus,2018,Existing Building for Non-Residential buildings (version 3),"18,451",73%,90%,N/A,Water Cooled Chilled Water Plant,7,0.64,2018,30%,N,168.30,159.22,182.79,167.74
RB CAPITAL BUILDING,"22 MALACCA STREET, SINGAPORE 048980",Commercial Building,Office,Small,1975,N/A,N/A,N/A,"7,811",81%,95%,N/A,Water Cooled Packaged Unit,20,N/A,N/A,25%,N,224.97,226.52,220.63,182.81
PARK HOTEL CLARKE QUAY,"1 UNITY STREET, SINGAPORE 237983",Commercial Building,Hotel,Small,2010,N/A,N/A,N/A,"11,050",100%,45%,336,Water Cooled Chilled Water Plant,6,N/A,N/A,85%,N,310.24,313.86,315.60,242.77
GRAND PARK CITY HALL,"10 COLEMAN STREET, SINGAPORE 179809",Commercial Building,Hotel,Large,1995,Platinum,2017,New Building for Non-Residential buildings (version 4.1),"20,348",97%,30%,343,Water Cooled Chilled Water Plant,1,N/A,N/A,100%,Y,186.65,178.76,189.69,154.19
N/A,"1 THE KNOLLS, SINGAPORE 098297",Commercial Building,Hotel,Large,2008,N/A,N/A,N/A,"42,461",79%,71%,193,Water Cooled Chilled Water Plant,10,N/A,N/A,10%,N,360.53,326.14,323.00,273.03
ROBINSON 112,"112 ROBINSON ROAD, SINGAPORE 068902",Commercial Building,Office,Small,2004,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"10,720",84%,87%,N/A,Water Cooled Packaged Unit,17,1.63,2019,5%,N,200.42,199.71,201.34,133.90
ANSON CENTRE,"51 ANSON ROAD, SINGAPORE 079904",Commercial Building,Office,Small,1974,N/A,N/A,N/A,"8,675",80%,65%,N/A,Water Cooled Chilled Water Plant,20,N/A,N/A,0%,N,160.80,152.98,146.95,119.99
RENDEZVOUS HOTEL SINGAPORE,"9 BRAS BASAH ROAD, SINGAPORE 189559",Commercial Building,Hotel,Large,1998,GoldPlus,2017,Existing Building for Non-Residential buildings (version 2.1),"19,720",64%,86%,298,Water Cooled Chilled Water Plant,19,N/A,N/A,90%,N,290.85,307.81,291.74,245.60
PACIFIC PLAZA,"9 SCOTTS ROAD, SINGAPORE 228210",Commercial Building,Mixed Development,Small,1997,N/A,N/A,N/A,"10,938",75%,80%,N/A,Air Cooled Chilled Water Plant,1,N/A,N/A,4%,N,426.86,397.89,371.93,313.08
THE ELIZABETH,"24 MOUNT ELIZABETH, SINGAPORE 228518",Commercial Building,Hotel,Omit,1993,N/A,N/A,N/A,"16,872",100%,85%,364,Water Cooled Chilled Water Plant,9,N/A,N/A,60%,N,270.25,254.32,274.85,224.06
"ORCHARD RENDEZVOUS HOTEL, SINGAPORE","1 TANGLIN ROAD, SINGAPORE 247905",Commercial Building,Hotel,Large,1977,Gold,2017,Existing Building for Non-Residential buildings (version 2.1),"26,657",99%,85%,388,Water Cooled Chilled Water Plant,2,0.68,2015,95%,N,246.99,237.96,240.62,219.60
SUPREME COURT BUILDING,"1 SUPREME COURT LANE, SINGAPORE 178879",Commercial Building,Office,Large,2005,N/A,N/A,N/A,"58,824",74%,100%,N/A,Water Cooled Chilled Water Plant,15,0.94,2017,2%,N,153.46,148.07,147.39,144.85
N/A,"3 HAVELOCK SQUARE, SINGAPORE 059725",Commercial Building,Office,Small,2001,N/A,N/A,N/A,"10,700",85%,100%,N/A,Others,1,N/A,N/A,31%,N,142.47,139.67,141.95,125.38
